,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,Rand
8453,2HoqbEOXgbDSLZ5XCePEXt,Ray Charles,Soul,Hit the Road Jack,69,119880,FALSE,0.598,0.571,8,-12.616,0,0.139,0.704,0,0.513,0.962,173.141,4,blues,0.162639708
69334,6OED7hCSHsLCk3bFVKFLAv,Sujatha,Manichitrathazhu (Orginal Motion Picture Soundtrack),Oru Murai Sujatha,31,102086,FALSE,0.512,0.284,5,-7.606,0,0.0263,0.551,0,0.367,0.385,80.016,4,malay,0.336173577
19329,3dcDc0eaQabbXoTNXysU6U,Little Big Town,Country USA,Boondocks,0,272346,FALSE,0.406,0.78,9,-5.392,1,0.0324,0.21,0,0.474,0.687,88.017,4,country,0.930142151
19783,0bTbLiGCQdNfXpHYGkCfSV,Morgan Evans,Good Times Country,Song for the Summer,0,212596,FALSE,0.606,0.817,9,-5.112,0,0.0327,0.0279,8.79E-05,0.228,0.645,124.072,4,country,0.630176316
96857,6dYEPFKD6hIDGtz1huZ4Ty,Grupo Fundo De Quintal,Livre Pra Sonhar,Livre para Sonhar,35,239200,FALSE,0.6,0.635,4,-11.093,0,0.0508,0.285,0.00153,0.086,0.874,82.824,4,samba,0.867162175
35048,4VWlZb7Xiq1Im9Abzhe9fp,Humberto & Ronaldo,Saudade Véia (Ao Vivo),Saudade Véia - Ao Vivo,57,160682,FALSE,0.633,0.877,1,-5.182,1,0.0526,0.335,0,0.128,0.913,162.032,4,forro,0.03208454
8110,7tfSlkyv8xmyoUEGd53mBC,Ella Fitzgerald;Louis Armstrong,Coffee Break,Dream A Little Dream Of Me - Single Version,0,187693,FALSE,0.45,0.25,0,-8.333,1,0.096,0.909,0,0.131,0.377,82.108,4,blues,0.042662217
15306,45StvejYUdIsyUwqdZ7iJM,Audrey Mika,Y U Gotta B Like That,Y U Gotta B Like That,58,154456,FALSE,0.732,0.413,9,-6.353,1,0.0702,0.287,0,0.0565,0.761,92.066,4,chill,0.320347065
80646,2KZ7VdPXY5k8B3pZB3nhCv,Unni Menon;S. Janaki,Hits of A.R.Rahman Isai Saral,"Kaadhal kaditham (From ""Jodi"")",58,297324,FALSE,0.755,0.719,6,-1.461,0,0.0297,0.654,1.57E-06,0.0984,0.807,104.042,4,pop-film,0.56539234
34192,34a89MbC7QXsUsLkljLgXX,Tom Petty,80s Bangers Vol. 1,Free Fallin',1,255680,FALSE,0.619,0.504,5,-11.562,1,0.025,0.0614,0,0.06,0.568,84.335,4,folk,0.44575095
77052,6NHjL6DkSsaGjFz2KJN1q2,LUDMILLA,Numanice (Ao vivo),Cheiro Bom do Seu Cabelo - Ao vivo,55,167313,FALSE,0.629,0.65,9,-6.209,1,0.0374,0.732,6.51E-06,0.26,0.896,91.963,4,pagode,0.376028674
33318,6Q0KBExmZVG7KVoFA8CRag,XXXTENTACION,Bad Vibes Forever,the interlude that never ends,50,148759,TRUE,0.597,0.232,7,-9.411,0,0.0332,0.831,0,0.0723,0.094,78.912,4,emo,0.887980378
93066,6SCoRFgvgCxXxXHniKLV3u,Kvatro,"XV лет, Часть 2",На бис,8,249702,FALSE,0.366,0.183,0,-11.307,0,0.0367,0.927,0.000726,0.129,0.166,116.92,3,romance,0.48522997
26502,2uVXl9p8MUKIswZUBLEgvV,Benny Martin;The Wong Janice,River Flows In You (Piano & Cello),River Flows In You - Piano & Cello,41,160698,FALSE,0.368,0.156,2,-15.525,1,0.057,0.962,0.899,0.0772,0.402,70.275,4,disney,0.935225245
84890,1DFdbWXLe4D2MHvBfIPQKQ,Steely Dan,A Decade Of Steely Dan,Rikki Don't Lose That Number,27,272133,FALSE,0.65,0.46,2,-14.041,1,0.0376,0.552,0.000132,0.0957,0.635,116.124,4,psych-rock,0.129645585
91718,4R85DA7JJsUp5SlKvGy62M,Wallows,Here to Forever - All New Indie,Virtual Aerobics,0,122333,TRUE,0.775,0.55,9,-3.765,1,0.0345,0.183,0,0.0434,0.72,109.952,4,rock,0.16644911
85978,74sfYW9x307NcyFYMqcC1I,Dritte Wahl,Geblitzdingst,Zu wahr um schön zu sein,35,205560,FALSE,0.378,0.866,9,-4.647,0,0.0356,0.00579,1.11E-05,0.123,0.753,106.012,4,punk-rock,0.266218566
38138,4xlEKYv7HmC8zXoJIbpZKM,The Raconteurs,Broken Boy Soldiers,"Steady, As She Goes",70,215266,FALSE,0.525,0.578,9,-4.563,1,0.12,0.0132,0.00916,0.108,0.537,123.696,4,garage,0.966811991
79916,0a8JnrGsVJstKtEzJCnGgD,Jacob's Piano,4 Soundtracks,"Una Mattina (from ""The Intouchables"")",49,206000,FALSE,0.354,0.076,9,-22.115,0,0.0545,0.982,0.839,0.149,0.0984,133.6,4,piano,0.331724726
41880,65x6jiukl94FwU0d2j4nG3,Roffe Ruff,Barrabas,Farväl,21,247240,FALSE,0.8,0.304,1,-9.6,1,0.208,0.73,3.21E-06,0.0596,0.554,75.028,4,goth,0.008371243
93848,66hhxzBA0No9mYn4MqRbJQ,Gelena Velikanova,Любимые песни (2022 Remastered),Поезда - 2022 Remastered,0,161887,FALSE,0.588,0.115,9,-11.238,0,0.0541,0.934,0,0.093,0.539,112.275,4,romance,0.149011265
12887,5EzVb1HA79V5HNZmjiX9HL,my little airport,在動物園散步才是正經事,"Edward, Had You Ever Thought That the End of the World Would Come on 20.9.01?",31,141623,FALSE,0.66,0.408,10,-10.386,1,0.0377,0.657,0.0244,0.486,0.527,124.95,4,cantopop,0.403958017
7723,1c9Usq7gt7aFO3XzXOCt9f,Mountain Sprout,One More For The Ditch,One More For the Ditch,21,186146,FALSE,0.582,0.829,9,-4.008,1,0.0375,0.393,0,0.101,0.962,116.255,4,bluegrass,0.768823694
8747,5gI0EopYYNOgMRUb8KmkOs,Allen Toussaint,New Orleans Voodoo Soul,Everything I Do Gonh Be Funky - Live,0,84760,FALSE,0.589,0.38,0,-16.975,1,0.0528,0.94,0.698,0.371,0.907,138.573,4,blues,0.472913248
25235,5C0Au1hBTKTzQLrfwgcocT,Oliver Cheatham,Diversión para los peques,Get Down Saturday Night,0,241906,FALSE,0.865,0.611,11,-11.571,0,0.0573,0.226,0.082,0.0572,0.963,116.545,4,disco,0.646509307
39377,0KF7oxjAZ2upNsW6m30iT5,Hans Zimmer;Richard Harvey,Hans Zimmer: Epic Scores,Fructus Gravis,21,169560,FALSE,0.0892,0.117,0,-20.242,1,0.0469,0.591,0.812,0.324,0.0368,72.35,4,german,0.20807328
99320,4N5s8lPTsjI9EGP7K4SXzB,George Ezra,Gold Rush Kid,Green Green Grass,75,167613,FALSE,0.685,0.738,8,-4.413,1,0.0595,0.0695,0,0.128,0.8,112.972,4,singer-songwriter,0.377692828
19659,79qxwHypONUt3AFq0WPpT9,Kacey Musgraves,Golden Hour,Rainbow,70,214293,FALSE,0.581,0.197,3,-7.697,1,0.0329,0.88,0,0.107,0.349,130.367,4,country,0.266958285
19291,55FUCDgGRlKY1GtfisHqR1,Kacey Musgraves;Camila Cabello,Christmas Best Hits 2022,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,0,124240,FALSE,0.745,0.598,10,-6.053,1,0.0975,0.129,0,0.678,0.789,148.906,4,country,0.596332804
36441,2tr24VBF280hvO14tSNBEO,Laurent Voulzy;Véronique Jannot,Belle Ile En Mer,"Désir, désir, Pt. 1",35,296506,FALSE,0.748,0.466,7,-14.149,1,0.0366,0.0542,6.21E-06,0.241,0.891,115.045,4,french,0.407644078
100516,4Eeu6xo9WJ2CTH415ylZPz,Los Pericos,3000 Vivos (En Vivo),Sin Cadenas (En Vivo),36,259978,FALSE,0.596,0.8,8,-7.21,1,0.0917,0.0325,5.47E-05,0.816,0.343,79.994,4,ska,0.409400179
91450,57RA3JGafJm5zRtKJiKPIm,Wallows;Clairo,Nothing Happens,Are You Bored Yet? (feat. Clairo),80,178000,FALSE,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32E-05,0.273,0.64,120.023,4,rock,0.437213955
81618,2pfvK4mEji3KYxoJqEwzDV,Feid,Verano en Junio,Belixe,1,155533,FALSE,0.876,0.673,8,-7.15,1,0.139,0.0524,0.00571,0.0813,0.462,113.995,4,pop,0.203453687
102645,1ml3WGeluftee3DiSfyIGx,Gerry Rafferty,OK Boomers - Top Tunes,Right Down the Line,0,267773,FALSE,0.783,0.322,0,-15.091,1,0.0343,0.215,0.00243,0.114,0.77,128.227,4,songwriter,0.676388061
105741,2TOw9ItbEwPIumscqbVEkg,meadowzz,laugh at the balance,laugh at the balance,9,149500,FALSE,0.543,0.309,5,-15.471,0,0.14,0.457,0.92,0.118,0.304,115.703,3,study,0.294504473
91478,5TuTzdZVv2k4Gtl7Rn6pow,Los Enanitos Verdes,Triste Hora,Lamento Boliviano,0,222226,FALSE,0.714,0.734,4,-7.125,0,0.0306,0.176,0.000618,0.115,0.68,123.57,4,rock,0.699601149
48598,0oBaL70PjGHtmNxzAOZ6yQ,Eterna Inocencia,No bien abran las flores,Amarras,31,217245,FALSE,0.385,0.855,4,-4.936,0,0.0412,0.000199,0.000446,0.584,0.4,174.935,4,hardcore,0.604326257
32140,5ym9WmvnmlIJQyajxwrxLY,Kavinsky,Halloween Party 2022,Rampage,0,175653,FALSE,0.44,0.873,5,-3.015,0,0.0576,0.0124,0.0966,0.346,0.5,111.1,4,electronic,0.220874065
59673,0d66dkG5xIPTbMeOEpP9Bl,War Angel,Tales of the Damned,The Last Ride,0,371791,FALSE,0.384,0.993,11,-3.809,0,0.0814,0.0362,0,0.141,0.108,172.997,4,iranian,0.575254269
6385,0UkDQLM5G6PshSlRUWyiu0,Hypocrisy,End of Disclosure,Living Dead,20,231450,FALSE,0.293,0.955,10,-5.383,0,0.0594,7.41E-06,0.829,0.289,0.327,170.004,4,black-metal,0.295065331
81971,459EdQfV196emJYVTMYZd1,Alka Yagnik;Alap Desai,Gayatri Mantra,Gayatri Mantra,31,245000,FALSE,0.42,0.341,0,-8.075,1,0.0325,0.942,0.00123,0.105,0.193,107.862,4,pop,0.764627351
33975,6HFLgj8BnhPwRynNgdAr1I,Radical,EVOL,TYPE BEAT SHAWTY,33,102689,TRUE,0.867,0.509,1,-3.806,1,0.317,0.329,0,0.0661,0.702,152.118,4,emo,0.655059829
88957,5CzixCxDkRXX9mScCmah8O,Bad Bunny,Un Verano Sin Ti,Un Ratito,87,176936,FALSE,0.787,0.546,0,-7.094,0,0.0532,0.305,4.55E-05,0.122,0.222,93.05,4,reggae,0.074760307
70803,4eejHUWzfDSV2RESYODwZC,Jam Hsiao,"斗羅大陸 (動畫網路劇 ""斗羅大陸"" 主題曲)","斗羅大陸 (動畫網路劇 ""斗羅大陸"" 主題曲)",33,239142,FALSE,0.482,0.928,6,-3.293,1,0.131,0.0447,0,0.355,0.633,139.947,4,mandopop,0.01808586
14206,5iNn43bKN1jSLllFkEfdOg,Super Simple Songs,ABC Boo,ABC Boo,1,192395,FALSE,0.661,0.459,2,-10.113,0,0.0868,0.16,0,0.353,0.481,71.914,4,children,0.574547714
16182,4j63MsY1JhofTuai9FwWb3,Pyotr Ilyich Tchaikovsky;Una Bourne,"Mozart, Liszt & Others: Piano Works","2 Pieces for Piano, Op. 10, TH 132: No. 2, Humoresque. Allegretto scherzando",0,140573,FALSE,0.372,0.252,7,-21.368,1,0.0508,0.995,0.851,0.104,0.194,93.599,3,classical,0.898324303
21899,5ipsq9FrLYv2qsnyTKwnEK,Ken Vybz,Dans ma ville,Dans ma ville,27,176842,TRUE,0.7,0.562,6,-9.427,0,0.514,0.677,0,0.167,0.23,126.847,5,dancehall,0.211950566
18953,6tnl3kdvVZzR7RIw4K2WD3,Michael Loftus,You've Changed,Clean out Your Room,20,230813,TRUE,0.592,0.662,0,-15.396,1,0.919,0.804,0,0.947,0.277,109.298,3,comedy,0.104585413
5516,6uJYlImgJZHoxrkbIn0S2m,syudou,Gambling,Gambling,52,219406,FALSE,0.516,0.982,11,-1.972,0,0.0986,0.012,0,0.335,0.517,98.024,4,anime,0.849774237
38678,1ku897rR9A6IfzWAORdxcB,Meatbodies,Meatbodies,Tremmors,26,221733,FALSE,0.308,0.721,2,-6.601,1,0.0346,2.06E-05,0.711,0.335,0.475,83.654,4,garage,0.611786354
32736,5l7LdqIGDXXybjAVAKhFPJ,Miranda!,743,743,35,206472,FALSE,0.851,0.747,9,-6.427,0,0.0302,0.098,0.000223,0.137,0.959,110.972,4,electronic,0.554467911
80521,7Czm0vv2sYL5z4P51KY66e,Shankar-Ehsaan-Loy;Sadhana Sargam;Sujata Bhattacharya;Udit Narayan;Sonu Nigam,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Maahi Ve,63,366853,FALSE,0.815,0.833,7,-6.117,0,0.0769,0.0297,2.00E-05,0.33,0.563,99.989,4,pop-film,0.242430405
52272,6sOjfmI5iCLF2uBundmytG,George Jones,Starday & Musicor Originals,I Wouldn't Know About That,15,131333,FALSE,0.703,0.48,7,-14.516,1,0.033,0.787,4.31E-06,0.317,0.965,91.018,4,honky-tonk,0.004000027
90631,0rZFY2cnAlMSu7t9GegK9M,The Good The Bad and The Zugly,Research and Destroy,Nostradumbass,30,201943,FALSE,0.409,0.884,4,-5.604,0,0.0344,1.72E-05,0.0442,0.187,0.443,139.955,4,rock-n-roll,0.684337099
30896,13QlmzEg89fD2DmW3f503g,Duke Dumont;Jax Jones,Fiesta portatil,I Got U,0,285596,FALSE,0.636,0.761,9,-7.752,0,0.035,0.00383,0.00784,0.0851,0.462,120.842,4,edm,0.293333542
7368,3kVyirIHDFdw7A6IZ3VX7b,Greensky Bluegrass,All Access: Volume One,Dry County >,24,343906,FALSE,0.378,0.713,2,-8.111,1,0.0302,0.165,0.605,0.755,0.645,111.82,4,bluegrass,0.756384603
43964,15l005yAnqcVKO0u4k0lGe,Sharapov;Patrick Hofmann,Amsterdam Dance Eves 2022,Hyda,0,444590,FALSE,0.833,0.851,2,-5.698,1,0.0898,0.00923,0.857,0.0256,0.481,122.028,4,groove,0.725091106
66744,1VAnb6RrxA6eJiywZYyTWG,Blake Rules;Netherfriends,Kids Trap 10,Snow Cone Truck,8,123076,FALSE,0.714,0.617,10,-11.971,1,0.0544,0.307,0.0612,0.128,0.681,155.979,4,kids,0.175956263
67410,2KpnP7hqdI36S08DFf4t0F,Danna Paola,Halloween 2022 Perreo Vol. 3,TQ Y YA,1,172226,FALSE,0.612,0.619,2,-6.203,1,0.315,0.117,1.40E-05,0.151,0.512,123.933,4,latin,0.680570853
54189,14RBEuGzKwpt4DRPY5pAKx,Melorman,Far Away Morning,Yellow Fountain,14,236000,FALSE,0.627,0.532,0,-9.108,1,0.0417,0.251,0.908,0.16,0.418,79.994,4,idm,0.206649167
73686,1gcfeVGhCwJDziVGpiKA65,Sven & Olav,Summer Feeling,Summer Feeling - Short Edit,19,184000,FALSE,0.562,0.879,9,-7.665,0,0.03,0.000255,0.869,0.232,0.653,127.985,4,minimal-techno,0.129767725
22456,5JxyDHWj4XMRgvuRzWd9JK,Dimmu Borgir,Abrahadabra,Gateways,49,310026,FALSE,0.172,0.943,10,-4.377,0,0.107,0.000224,0.000132,0.168,0.15,165.144,5,death-metal,0.385865997
51512,4jRoXx97M0sSZBfwMkBEDV,Tegi Pannu;Manni Sandhu,Roll Deep,Roll Deep,61,182378,FALSE,0.753,0.687,6,-6.375,0,0.149,0.52,2.32E-06,0.0663,0.754,90.621,4,hip-hop,0.783513344
75514,5VHt3nt8eIfnSLkOK7K1DL,Aeoliah,The Best of Aeoliah,Hearts of Fire,23,370533,FALSE,0.115,0.0697,7,-23.788,0,0.0376,0.941,0.757,0.109,0.0339,85.116,4,new-age,0.287308472
107113,273uCXd7NPrInaiNqtkOrA,Baltimora,Living In The Background,Tarzan Boy,72,378946,FALSE,0.684,0.573,5,-12.3,1,0.0261,0.318,0.028,0.306,0.716,107.363,4,synth-pop,0.906786596
15578,1Xy2tuw1Z2RvFiJEI538DT,Mokita,When I See You,When I See You,47,203842,FALSE,0.649,0.568,10,-10.051,1,0.0496,0.46,0,0.0933,0.325,116.793,4,chill,0.821685433
83325,4GSHxAZbd7eDyVTnQIDF1t,R3HAB;Amy Shark,Sway My Way (with Amy Shark),Sway My Way (with Amy Shark),42,136842,FALSE,0.762,0.76,9,-5.13,1,0.0301,0.405,5.05E-05,0.112,0.256,114.008,4,progressive-house,0.889394046
103560,5HKv1sFHbXgmXBih203HxT,Charlie Burg,Live in Peter's Attic,I Don't Wanna Be Okay Without You,70,243796,FALSE,0.532,0.319,5,-7.461,1,0.0288,0.399,2.52E-05,0.138,0.166,62.984,4,soul,0.915136012
102047,5YVmHTAsdWnoanWXB7AwZX,Jax,Like My Father,Like My Father,72,183428,FALSE,0.492,0.224,5,-8.098,1,0.0493,0.91,0,0.142,0.424,93.039,4,songwriter,0.603180859
51951,7xt1AuUbQBZC4yvxxm4nAI,Miss Pooja;Millind Gaba,Sohnea,Sohnea,56,269643,FALSE,0.757,0.745,4,-3.085,1,0.038,0.395,0,0.308,0.598,119.8,4,hip-hop,0.74769368
60954,6WRoMvvjhKsJjWJHXNJxtq,Charly Black;Sak Noel;Cali Y El Dandee;Tarik Jazzy T Thompson,Diggy Dee (Remix),Diggy Dee - Remix,35,196973,FALSE,0.762,0.945,11,-0.965,1,0.0904,0.0503,0,0.232,0.77,104.929,4,j-dance,0.400734047
100406,5TfUomWhqo4D9oKZZ7Dafq,Joe Vasconcellos,Esto Es Sólo una Canción,"Valparaíso, Ay Rosa",38,182884,FALSE,0.612,0.721,9,-4.096,1,0.0508,0.857,0,0.0903,0.962,177.507,3,ska,0.807893527
52842,2H93WbEbrArY2vj4Ax94yJ,Ernest Tubb,The Living Legend,Journey's End,12,162246,FALSE,0.68,0.324,2,-14.473,1,0.0279,0.876,0.012,0.151,0.665,128.261,4,honky-tonk,0.815756895
107195,2bOxW5iADNNmticSFnR73U,Limahl,Disciples Liberation The Ultimate Fantasy Playlist,Never Ending Story,0,213120,FALSE,0.751,0.538,11,-13.318,1,0.0316,0.0639,0.000101,0.0767,0.753,123.028,4,synth-pop,0.2489192
61641,2ir8rTwGhlfWzoT0bdGqpz,STU48,花は誰のもの? Special Edition,ポニーテールをほどいた君を見た,20,249746,FALSE,0.553,0.911,4,-1.862,0,0.0391,0.0611,0,0.282,0.802,156.003,4,j-idol,0.007331535
24189,0UlSTv7h3xyrkTUnG2XhLL,Carl Craig,Versus,Sandstorms,12,385578,FALSE,0.552,0.616,5,-14.572,1,0.0328,0.0345,0.94,0.0804,0.234,119.994,4,detroit-techno,0.547389797
